siren,nic,siret,statutDiffusionEtablissement,dateCreationEtablissement,trancheEffectifsEtablissement,anneeEffectifsEtablissement,activitePrincipaleRegistreMetiersEtablissement,dateDernierTraitementEtablissement,etablissementSiege,nombrePeriodesEtablissement,complementAdresseEtablissement,numeroVoieEtablissement,indiceRepetitionEtablissement,typeVoieEtablissement,libelleVoieEtablissement,codePostalEtablissement,libelleCommuneEtablissement,libelleCommuneEtrangerEtablissement,distributionSpecialeEtablissement,codeCommuneEtablissement,codeCedexEtablissement,libelleCedexEtablissement,codePaysEtrangerEtablissement,libellePaysEtrangerEtablissement,complementAdresse2Etablissement,numeroVoie2Etablissement,indiceRepetition2Etablissement,typeVoie2Etablissement,libelleVoie2Etablissement,codePostal2Etablissement,libelleCommune2Etablissement,libelleCommuneEtranger2Etablissement,distributionSpeciale2Etablissement,codeCommune2Etablissement,codeCedex2Etablissement,libelleCedex2Etablissement,codePaysEtranger2Etablissement,libellePaysEtranger2Etablissement,dateDebut,etatAdministratifEtablissement,enseigne1Etablissement,enseigne2Etablissement,enseigne3Etablissement,denominationUsuelleEtablissement,activitePrincipaleEtablissement,nomenclatureActivitePrincipaleEtablissement,caractereEmployeurEtablissement
006177257,00026,00617725700026,O,,,,,,true,1,,,,BD,DE LA BRIERE,44410,HERBIGNAC,,,44072,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,81.21,NAP,N
006177265,00011,00617726500011,O,,,,,,true,1,,,,,BOURG,44460,FEGREAC,,,44057,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,55.70,NAP,N
006177349,00013,00617734900013,O,,NN,,,2019-11-14T14:00:38,true,1,,,,LD,PINLY,44410,LA CHAPELLE-DES-MARAIS,,,44030,,,,,,,,,,,,,,,,,,,1992-09-30,F,,,,,55.4B,NAF1993,N
006177364,00012,00617736400012,O,,NN,,,,true,1,,14,,CHE,DE LA PETITE VILLE,44570,TRIGNAC,,,44210,,,,,,,,,,,,,,,,,,,,F,,,,,55.72,NAP,N
006177398,00028,00617739800028,O,1985-09-01,NN,,,2019-11-14T14:00:39,true,1,,5,,PL,NEPTUNE,44600,SAINT-NAZAIRE,,,44184,,,,,,,,,,,,,,,,,,,1997-01-21,F,,,,,70.2C,NAF1993,N
006177422,00018,00617742200018,O,,,,,,true,1,,,,LD,LE COUDRAY,44630,PLESSE,,,44128,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,55.60,NAP,N
006177430,00029,00617743000029,O,1977-04-01,NN,,,2008-01-04T17:54:18,true,3,,20,,RTE,DE CONQUEREUIL,44130,LE GAVRE,,,44062,,,,,,,,,,,,,,,,,,,2008-01-01,A,,,,,68.20B,NAFRev2,N
006177455,00018,00617745500018,O,,,,,,true,1,,,,RUE,SAINT MICHEL,44350,GUERANDE,,,44069,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,38.40,NAP,N
006177489,00017,00617748900017,O,,NN,,,,true,1,,,,PL,DE L EGLISE,44460,AVESSAC,,,44007,,,,,,,,,,,,,,,,,,,,F,,,,,62.41,NAP,N
006177554,00018,00617755400018,O,,,,,2019-11-14T14:00:38,true,1,,,,RUE,HAMON,44290,GUEMENE-PENFAO,,,44067,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,,,N
